section_id,course_id,name,status
07SCIA_PLANNING_16_17,07SCI_COMBINED_PLAN1617,07SCIA,active
07SCIB_PLANNING_16_17,07SCI_COMBINED_PLAN1617,07SCIB,active
07SCIC_PLANNING_16_17,07SCI_COMBINED_PLAN1617,07SCIC,active
07SCID_PLANNING_16_17,07SCI_COMBINED_PLAN1617,07SCID,active
08HPEB_PLANNING_16_17,08HPE_COMBINED_PLAN1617,08HPEB,active
08HPED_PLANNING_16_17,08HPE_COMBINED_PLAN1617,08HPED,active
08HUMA_PLANNING_16_17,08HUM_COMBINED_PLAN1617,08HUMA,active
08HUMB_PLANNING_16_17,08HUM_COMBINED_PLAN1617,08HUMB,active
08HUMC_PLANNING_16_17,08HUM_COMBINED_PLAN1617,08HUMC,active
08HUMD_PLANNING_16_17,08HUM_COMBINED_PLAN1617,08HUMD,active
08HUME_PLANNING_16_17,08HUM_COMBINED_PLAN1617,08HUME,active
08SCIA_PLANNING_16_17,08SCI_COMBINED_PLAN1617,08SCIA,active
08SCIB_PLANNING_16_17,08SCI_COMBINED_PLAN1617,08SCIB,active
08SCIC_PLANNING_16_17,08SCI_COMBINED_PLAN1617,08SCIC,active
08SCID_PLANNING_16_17,08SCI_COMBINED_PLAN1617,08SCID,active
08SCIE_PLANNING_16_17,08SCI_COMBINED_PLAN1617,08SCIE,active
09HPEC_PLANNING_16_17,09HPE_COMBINED_PLAN1617,09HPEC,active
09HPED_PLANNING_16_17,09HPE_COMBINED_PLAN1617,09HPED,active
09SCIA_PLANNING_16_17,09SCI_COMBINED_PLAN1617,09SCIA,active
09SCIB_PLANNING_16_17,09SCI_COMBINED_PLAN1617,09SCIB,active
09SCIC_PLANNING_16_17,09SCI_COMBINED_PLAN1617,09SCIC,active
09SCID_PLANNING_16_17,09SCI_COMBINED_PLAN1617,09SCID,active
10HPEC2B_PLANNING_16_17,10HPE_COMBINED_PLAN1617,10HPEC2B,active
10HPED_PLANNING_16_17,10HPE_COMBINED_PLAN1617,10HPED,active
10HPEE_PLANNING_16_17,10HPE_COMBINED_PLAN1617,10HPEE,active
11ACC5A_PLANNING_16_17,11ACC_COMBINED_PLAN1617,11ACC5A,active
11ACC7B_PLANNING_16_17,11ACC_COMBINED_PLAN1617,11ACC7B,active
11BIO5A_PLANNING_16_17,11BIO_COMBINED_PLAN1617,11BIO5A,active
11BIO6B_PLANNING_16_17,11BIO_COMBINED_PLAN1617,11BIO6B,active
11CHE4A_PLANNING_16_17,11CHE_COMBINED_PLAN1617,11CHE4A,active
11CHE7B_PLANNING_16_17,11CHE_COMBINED_PLAN1617,11CHE7B,active
11LST3A_PLANNING_16_17,11LST_COMBINED_PLAN1617,11LST3A,active
11LST4B_PLANNING_16_17,11LST_COMBINED_PLAN1617,11LST4B,active
11PE3A_PLANNING_16_17,11PE_COMBINED_PLAN1617,11PE3A,active
11PE5B_PLANNING_16_17,11PE_COMBINED_PLAN1617,11PE5B,active
11SCI216A_PLANNING_16_17,11SCI21_COMBINED_PLAN1617,11SCI216A,active
11SCI217B_PLANNING_16_17,11SCI21_COMBINED_PLAN1617,11SCI217B,active
12ACC3A_PLANNING_16_17,12ACC_COMBINED_PLAN1617,12ACC3A,active
12ACC5B_PLANNING_16_17,12ACC_COMBINED_PLAN1617,12ACC5B,active
12BIO3A_PLANNING_16_17,12BIO_COMBINED_PLAN1617,12BIO3A,active
12BIO6B_PLANNING_16_17,12BIO_COMBINED_PLAN1617,12BIO6B,active
12CHE4A_PLANNING_16_17,12CHE_COMBINED_PLAN1617,12CHE4A,active
12CHE7B_PLANNING_16_17,12CHE_COMBINED_PLAN1617,12CHE7B,active
12LST3A_PLANNING_16_17,12LST_COMBINED_PLAN1617,12LST3A,active
12LST4B_PLANNING_16_17,12LST_COMBINED_PLAN1617,12LST4B,active
12MAA2A_PLANNING_16_17,12MAA_COMBINED_PLAN1617,12MAA2A,active
12MAA2B_PLANNING_16_17,12MAA_COMBINED_PLAN1617,12MAA2B,active
12SCI216A_PLANNING_16_17,12SCI21_COMBINED_PLAN1617,12SCI216A,active
12SCI217B_PLANNING_16_17,12SCI21_COMBINED_PLAN1617,12SCI217B,active
12SIS310C33A_PLANNING_16_17,12SIS310C_COMBINED_PLAN1617,12SIS310C33A,active
12SIS310C37B_PLANNING_16_17,12SIS310C_COMBINED_PLAN1617,12SIS310C37B,active
GP-10SELA_PLANNING_16_17,10SEL_COMBINED_PLAN1617,GP-10SELA,active
GP-10SELB_PLANNING_16_17,10SEL_COMBINED_PLAN1617,GP-10SELB,active
GP-10SELC_PLANNING_16_17,10SEL_COMBINED_PLAN1617,GP-10SELC,active
GP-10SELD_PLANNING_16_17,10SEL_COMBINED_PLAN1617,GP-10SELD,active
